OBJECTID,ROCK_NAME,ROCK_TYPE,AQ_NAME,AQ_CODE,Shape_Leng,Shape_Area,observed
3889,Carbonate-rock aquifers,400,Floridan aquifer system,413,0.02940980562,5.911475e-05,
571,Igneous and metamorphic-rock aquifers,600,Columbia Plateau basaltic-rock aquifers,607,0.23917068666,0.00134276642,
3693,Semiconsolidated sand aquifers,200,Coastal lowlands aquifer system,201,0.03934755087,9.924147e-05,
1104,Carbonate-rock aquifers,400,New York and New England carbonate-rock aquifers,416,2.94233141887,0.08943751569,
3890,Carbonate-rock aquifers,400,Floridan aquifer system,413,0.02921986315,5.859384e-05,
1241,Carbonate-rock aquifers,400,New York and New England carbonate-rock aquifers,416,1.81311149795,0.02467652908,
3891,Carbonate-rock aquifers,400,Floridan aquifer system,413,0.02967198341,5.850144e-05,
2240,Unconsolidated sand and gravel aquifers,100,California Coastal Basin aquifers,103,6.96345405543,0.25999683627,
182,Unconsolidated sand and gravel aquifers,100,Columbia Plateau basin-fill aquifers,116,0.25421089617,0.0034210419,
2138,Sandstone and carbonate-rock aquifers,500,Valley and Ridge aquifers,502,0.5800559415,0.00719390943,
2142,,999,Other rocks,999,2.56648336136,0.0991998249,
2175,,999,Other rocks,999,2.83849080898,0.1319594038,
2238,Sandstone aquifers,300,Pennsylvanian aquifers,310,6.99308494343,1.17757077918,
2264,Sandstone aquifers,300,Early Mesozoic basin aquifers,308,0.76809030452,0.0165912274,
3892,Carbonate-rock aquifers,400,Floridan aquifer system,413,0.02589034313,4.611106e-05,
3893,Carbonate-rock aquifers,400,Floridan aquifer system,413,0.02958568215,5.921964e-05,
870,,999,Other rocks,999,0.04905621437,0.00012793449,
1334,Sandstone aquifers,300,Upper Tertiary aquifers,316,2.02136186494,0.07778660041,
1299,,999,Other rocks,999,235.261919849,56.3195377993,
1430,Sandstone and carbonate-rock aquifers,500,Mississippian aquifers,503,94.4179084675,4.79234822736,
1471,,999,Other rocks,999,1.97946688965,0.07409428748,
1478,Sandstone aquifers,300,Lower Tertiary aquifers,314,1.80925916213,0.07830146487,
871,,999,Other rocks,999,0.03841687506,0.00010206567,
1536,Sandstone and carbonate-rock aquifers,500,Mississippian aquifers,503,2.74631880272,0.09844486563,
1537,Sandstone aquifers,300,Pennsylvanian aquifers,310,68.7195371705,16.2613821057,
3694,Semiconsolidated sand aquifers,200,Coastal lowlands aquifer system,201,0.0397804642,0.00010926114,
1547,,999,Other rocks,999,1.15079173472,0.02517227498,
3712,Semiconsolidated sand aquifers,200,Coastal lowlands aquifer system,201,0.04013842347,0.00010527439,
3713,Semiconsolidated sand aquifers,200,Coastal lowlands aquifer system,201,0.02360343672,3.883479e-05,
1614,Sandstone and carbonate-rock aquifers,500,Valley and Ridge aquifers,502,17.9760311735,0.37142245929,
1615,Sandstone aquifers,300,Early Mesozoic basin aquifers,308,9.83660287195,1.09473563786,
1640,Sandstone and carbonate-rock aquifers,500,Valley and Ridge carbonate-rock aquifers,505,0.98735716474,0.01724034048,
3714,Carbonate-rock aquifers,400,Floridan aquifer system,413,0.02291142334,3.667834e-05,
3733,Carbonate-rock aquifers,400,Floridan aquifer system,413,0.022908677,3.667507e-05,
3734,Semiconsolidated sand aquifers,200,Coastal lowlands aquifer system,201,0.02964967954,5.30902e-05,
4145,,999,Other rocks,999,0.03094518731,7.125098e-05,
1652,Sandstone and carbonate-rock aquifers,500,Valley and Ridge carbonate-rock aquifers,505,0.58149142803,0.0072803742,
